"site","caldate","nObs"
"UCKearney",2019-07-03,48
"UCKearney",2019-07-04,46
"UCKearney",2019-07-05,46
"UCKearney",2019-07-06,48
"UCKearney",2019-07-07,48
"UCKearney",2019-07-08,48
"UCKearney",2019-07-09,45
"UCKearney",2019-07-10,44
"UCKearney",2019-07-11,47
"UCKearney",2019-07-12,46
"UCKearney",2019-07-13,47
"UCKearney",2019-07-15,47
"UCKearney",2019-07-16,45
"UCKearney",2019-07-17,47
"UCKearney",2019-07-18,48
"UCKearney",2019-07-19,48
"UCKearney",2019-07-20,48
"UCKearney",2019-07-21,49
"UCKearney",2019-07-22,48
"UCKearney",2019-07-23,47
"UCKearney",2019-07-24,48
"UCKearney",2019-07-25,48
"UCKearney",2019-07-26,48
"UCKearney",2019-07-27,48
"UCKearney",2019-07-28,49
"UCKearney",2019-07-29,47
"UCKearney",2019-07-30,49
"UCKearney",2019-07-31,48
"UCKearney",2019-08-01,48
"UCKearney",2019-08-02,49
"UCKearney",2019-08-03,48
"UCKearney",2019-08-04,48
"UCKearney",2019-08-05,48
"UCKearney",2019-08-06,49
"UCKearney",2019-08-07,48
"UCKearney",2019-08-08,48
"UCKearney",2019-08-09,46
"UCKearney",2019-08-10,48
"UCKearney",2019-08-11,47
"UCKearney",2019-08-12,49
"UCKearney",2019-08-13,49
"UCKearney",2019-08-14,48
"UCKearney",2019-08-15,48
"UCKearney",2019-08-16,49
"UCKearney",2019-08-17,47
"UCKearney",2019-08-18,48
"UCKearney",2019-08-19,48
"UCKearney",2019-08-20,48
"UCKearney",2019-08-21,48
"UCKearney",2019-08-22,48
"UCKearney",2019-08-23,48
"UCKearney",2019-08-24,48
"UCKearney",2019-08-25,48
"UCKearney",2019-08-26,48
"UCKearney",2019-08-27,48
"UCKearney",2019-08-28,47
"UCKearney",2019-08-29,48
"UCKearney",2019-08-30,47
"UCKearney",2019-08-31,48
"UCKearney",2019-09-01,47
"UCKearney",2019-09-02,48
"UCKearney",2019-09-03,48
"UCKearney",2019-09-04,43
"UCKearney",2019-09-05,46
"UCKearney",2019-09-06,50
"UCKearney",2019-09-07,48
"UCKearney",2019-09-08,48
"UCKearney",2019-09-09,48
"UCKearney",2019-09-11,48
"UCKearney",2019-09-12,49
"UCKearney",2019-09-13,48
"UCKearney",2019-09-14,48
"UCKearney",2019-09-15,48
"UCKearney",2019-09-16,48
"UCKearney",2019-09-17,48
"UCKearney",2019-09-18,47
"UCKearney",2019-09-19,47
"UCKearney",2019-09-20,48
"UCKearney",2019-09-21,48
"UCKearney",2019-09-22,47
"UCKearney",2019-09-23,48
"UCKearney",2019-09-24,46
"UCKearney",2019-09-25,48
"UCKearney",2019-09-26,44
"UCKearney",2019-09-27,48
"UCKearney",2019-09-28,44
"UCKearney",2019-09-29,48
"UCKearney",2019-09-30,47
"UCKearney",2019-10-01,48
"UCKearney",2019-10-02,48
"UCKearney",2019-10-03,48
"UCKearney",2019-10-04,48
"UCKearney",2019-10-05,48
"UCKearney",2019-10-06,43
"UCKearney",2019-10-07,43
"UCKearney",2019-10-08,44
"UCKearney",2019-10-09,48
"UCKearney",2019-10-10,48
"UCKearney",2019-10-11,48
"UCKearney",2019-10-12,47
"UCKearney",2019-10-13,47
