"site2","Yr","Mnth.x","Julian","Hr","count","Mnth.y","degc_avg"
"A",2019,"Jun",152,14,0,"Jun",34.4055555555556
"A",2019,"Jun",152,15,0,"Jun",35.0722222222222
"A",2019,"Jun",152,16,0,"Jun",33.95
"A",2019,"Jun",152,17,0,"Jun",28.7944444444444
"A",2019,"Jun",152,18,0,"Jun",23.1166666666667
"A",2019,"Jun",152,19,0,"Jun",19.15
"A",2019,"Jun",152,20,0,"Jun",18.75
"A",2019,"Jun",152,21,0,"Jun",18.7555555555556
"A",2019,"Jun",152,22,0,"Jun",20.1277777777778
"A",2019,"Jun",152,23,0,"Jun",19.0277777777778
"A",2019,"Jun",153,0,0,"Jun",18.3888888888889
"A",2019,"Jun",153,1,0,"Jun",17.7111111111111
"A",2019,"Jun",153,2,0,"Jun",16.7666666666667
"A",2019,"Jun",153,3,0,"Jun",16.6944444444444
"A",2019,"Jun",153,4,0,"Jun",16.7055555555556
"A",2019,"Jun",153,5,0,"Jun",16.6666666666667
"A",2019,"Jun",153,6,0,"Jun",17.7388888888889
"A",2019,"Jun",153,7,0,"Jun",20.2111111111111
"A",2019,"Jun",153,8,0,"Jun",22.7111111111111
"A",2019,"Jun",153,9,0,"Jun",26.4333333333333
"A",2019,"Jun",153,10,0,"Jun",28.1555555555556
"A",2019,"Jun",153,11,0,"Jun",29.2777777777778
"A",2019,"Jun",153,12,0,"Jun",30.9611111111111
"A",2019,"Jun",153,13,0,"Jun",32.0722222222222
"A",2019,"Jun",153,14,0,"Jun",33.2388888888889
"A",2019,"Jun",153,15,0,"Jun",33.0111111111111
"A",2019,"Jun",153,16,0,"Jun",31.2222222222222
"A",2019,"Jun",153,17,0,"Jun",27.6055555555556
"A",2019,"Jun",153,18,0,"Jun",25.7166666666667
"A",2019,"Jun",153,19,0,"Jun",23.9833333333333
"A",2019,"Jun",153,20,0,"Jun",22.2777777777778
"A",2019,"Jun",153,21,0,"Jun",21.7555555555556
"A",2019,"Jun",153,22,0,"Jun",20.9611111111111
"A",2019,"Jun",153,23,0,"Jun",20.3666666666667
"A",2019,"Jun",154,0,0,"Jun",19.6222222222222
"A",2019,"Jun",154,1,0,"Jun",19.8444444444444
"A",2019,"Jun",154,2,0,"Jun",18.7222222222222
"A",2019,"Jun",154,3,0,"Jun",17.2388888888889
"A",2019,"Jun",154,4,0,"Jun",16.8944444444444
"A",2019,"Jun",154,5,0,"Jun",16.5444444444444
"A",2019,"Jun",154,6,0,"Jun",17.5888888888889
"A",2019,"Jun",154,7,0,"Jun",20.9444444444444
"A",2019,"Jun",154,8,0,"Jun",23.4722222222222
